A,Call overhead,OpenFaaS overhead,Time inside function,Total time
1,0.08858599999999939,4.358589,4.3,4.447175
2,0.06903199999999998,4.180699,4.15,4.249731
3,0.044941999999999815,4.414361,4.37,4.459303
4,0.05565899999999946,4.283818,4.24,4.339477
5,0.04638100000000023,4.258121,4.23,4.304502
6,0.04398900000000072,4.312733,4.28,4.356722
7,0.04267999999999983,4.664935,4.62,4.707615
8,0.05710800000000038,4.417959,4.39,4.475067
9,0.05496200000000062,4.259408,4.23,4.31437
10,0.03831600000000002,4.261243,4.22,4.299559
11,0.04565000000000019,4.257743,4.21,4.303393
12,0.06445800000000013,4.001633,3.95,4.066091
13,0.03946400000000061,4.397905,4.37,4.437369
14,0.046196000000000126,4.599933,4.56,4.646129
15,0.03363700000000058,4.383582,4.34,4.417219
16,0.051560999999999524,4.274504,4.25,4.326065
17,0.06292100000000023,4.616465,4.58,4.679386
18,0.03900099999999984,4.478702,4.43,4.517703
19,0.05023800000000023,4.47276,4.43,4.522998
20,0.03528800000000043,4.538652,4.47,4.57394
21,0.055783000000000804,4.25855,4.22,4.314333
22,0.037976000000000454,4.372965,4.33,4.410941
23,0.05908599999999975,4.496989,4.43,4.556075
24,0.03638400000000086,4.368827,4.34,4.405211
25,0.045106999999999786,4.26707,4.23,4.312177
26,0.05398600000000009,4.149691,4.12,4.203677
27,0.054701999999999806,4.448271,4.42,4.502973
28,0.0624709999999995,4.143271,4.12,4.205742
29,0.04398500000000016,4.205232,4.18,4.249217
30,0.05054800000000004,4.331392,4.3,4.38194
31,0.047649000000000274,3.998778,3.96,4.046427
32,0.04686699999999977,4.004082,3.96,4.050949
33,0.05905799999999983,3.986252,3.95,4.04531
34,0.04794199999999993,3.943887,3.9,3.991829
35,0.05248799999999987,3.92042,3.87,3.972908
36,0.045836999999999684,4.305875,4.27,4.351712
37,0.06294199999999961,3.954607,3.92,4.017549
38,0.04107100000000008,3.962366,3.92,4.003437
39,0.055223000000000244,3.964298,3.93,4.019521
40,0.03991200000000017,3.976235,3.95,4.016147
41,0.04436900000000055,4.018604,3.99,4.062973
42,0.0377559999999999,4.074483,4.04,4.112239
43,0.040132999999999974,4.074413,4.03,4.114546
44,0.04553100000000043,3.992952,3.97,4.038483
45,0.05541899999999966,4.272534,4.22,4.327953
46,0.04799099999999967,4.024471,3.97,4.072462
47,0.0446080000000002,4.036867,4.0,4.081475
48,0.04835400000000023,3.921264,3.88,3.969618
49,0.044864000000000015,3.899323,3.87,3.944187
50,0.04768699999999981,4.26842,4.23,4.316107
51,0.04742100000000038,3.96644,3.92,4.013861
52,0.036577000000000304,4.033403,4.01,4.06998
53,0.04728600000000016,3.962487,3.93,4.009773
54,0.05932100000000018,3.925811,3.88,3.985132
55,0.052257,4.191118,4.15,4.243375
56,0.05662599999999962,4.101441,4.06,4.158067
57,0.05223299999999931,4.133072,4.09,4.185305
58,0.04362599999999972,3.942804,3.89,3.98643
59,0.03882099999999955,4.008884,3.97,4.047705
60,0.03848400000000041,4.121676,4.09,4.16016
61,0.054986999999999675,3.931271,3.89,3.986258
62,0.04266900000000007,3.928981,3.88,3.97165
63,0.05459600000000009,3.822619,3.78,3.877215
64,0.05022499999999974,3.944942,3.9,3.995167
65,0.04209200000000024,4.065617,4.02,4.107709
66,0.056866000000000305,4.073403,4.04,4.130269
67,0.03960200000000036,4.021393,3.99,4.060995
68,0.04999700000000029,4.238498,4.21,4.288495
69,0.03801100000000002,4.093006,4.06,4.131017
70,0.04952700000000032,4.003108,3.97,4.052635
71,0.04878999999999989,3.886475,3.86,3.935265
72,0.04273300000000013,3.915358,3.86,3.958091
73,0.054225999999999885,4.155391,4.12,4.209617
74,0.041398000000000046,3.999198,3.97,4.040596
75,0.05355500000000024,3.991917,3.95,4.045472
76,0.043681999999999555,4.007498,3.97,4.05118
77,0.06261700000000037,3.993226,3.96,4.055843
78,0.041596999999999884,3.952188,3.91,3.993785
79,0.034569999999999546,3.995921,3.97,4.030491
80,0.046258000000000354,3.977071,3.93,4.023329
81,0.037829999999999586,4.197044,4.16,4.234874
82,0.0424199999999999,4.043227,4.02,4.085647
83,0.0778019999999997,3.972152,3.94,4.049954
84,0.03801699999999997,4.011547,3.99,4.049564
85,0.06497099999999989,3.896099,3.86,3.96107
86,0.05879100000000026,4.023714,3.99,4.082505
87,0.05689999999999973,4.231423,4.2,4.288323
88,0.05093199999999998,3.94668,3.91,3.997612
89,0.042492000000000196,3.9627,3.91,4.005192
90,0.04205699999999979,4.223766,4.17,4.265823
91,0.051632000000000566,4.14223,4.09,4.193862
92,0.05665000000000031,4.136285,4.1,4.192935
93,0.04091699999999987,3.945155,3.91,3.986072
94,0.04310399999999959,4.025763,3.99,4.068867
95,0.04067099999999968,4.039424,4.01,4.080095
96,0.04285300000000003,4.111814,4.07,4.154667
97,0.03902400000000039,4.037305,4.01,4.076329
98,0.05479699999999976,3.805333,3.77,3.86013
99,0.03750600000000048,4.210468,4.16,4.247974
100,0.04662299999999986,3.913141,3.87,3.959764
